X,Y,Z,formation,section
64,0,-867,topo,sectiona
105,0,-867,topo,sectiona
162,0,-868,topo,sectiona
228,0,-867,topo,sectiona
295,0,-863,topo,sectiona
391,0,-840,topo,sectiona
461,0,-839,topo,sectiona
559,0,-820,topo,sectiona
645,0,-781,topo,sectiona
675,0,-752,topo,sectiona
730,0,-698,topo,sectiona
777,0,-643,topo,sectiona
829,0,-604,topo,sectiona
845,0,-592,topo,sectiona
874,0,-618,topo,sectiona
931,0,-661,topo,sectiona
974,0,-686,topo,sectiona
1011,0,-714,topo,sectiona
1035,0,-734,topo,sectiona
1082,0,-712,topo,sectiona
1127,0,-661,topo,sectiona
1161,0,-649,topo,sectiona
1266,0,-657,topo,sectiona
1381,0,-675,topo,sectiona
1424,0,-672,topo,sectiona
1476,0,-668,topo,sectiona
1491,0,-678,topo,sectiona
1542,0,-717,topo,sectiona
1598,0,-753,topo,sectiona
1582,0,-755,topo,sectiona
1635,0,-737,topo,sectiona
1683,0,-715,topo,sectiona
1789,0,-716,topo,sectiona
1932,0,-724,topo,sectiona
1993,0,-724,topo,sectiona
2093,0,-725,topo,sectiona
2184,0,-713,topo,sectiona
